experiment,title,factor,factor_label,level,build,quality_metric,quality_direction,n_total,n_success,n_nonconverged,n_failure,failure_rate,initial_quality_median,last_quality_median,selected_quality_median,selected_quality_q05,selected_quality_q95,max_principal_sine_median,max_principal_sine_q05,max_principal_sine_q95,max_principal_angle_deg_median,max_principal_angle_deg_q05,max_principal_angle_deg_q95,fit_time_median_sec,peak_memory_median_mib
diagnostic-manifold-base,"manifold: base, local parameter variants",N_loc,N_loc,20,ADP,local_projector_distance,lower,96,55,0,41,0.4270833333333333,nan,0.497995068202645,0.497995068202645,0.4202271125406949,0.5816448171209048,0.9980959832687225,0.974170333464001,0.9999681370126752,86.46375828345992,76.95140301545942,89.56798217967264,0.2431159120023949,0.645477294921875
diagnostic-manifold-base,"manifold: base, local parameter variants",N_loc,N_loc,10,ADP,local_projector_distance,lower,12,4,0,8,0.6666666666666666,nan,0.5179439310759262,0.5179439310759262,0.43514047229356917,0.5982200032639109,0.9993353000498785,0.9929200731909666,0.9996763126194097,87.92779138826135,83.4149108669372,88.54985408118172,0.20404608250100864,0.6441450119018555
diagnostic-manifold-base,"manifold: base, local parameter variants",N_loc,N_loc,30,ADP,local_projector_distance,lower,12,10,0,2,0.16666666666666666,nan,0.5040962649351786,0.5040962649351786,0.42065571512090605,0.5191245205005777,0.9891104551703875,0.9550648371415672,0.9991394324938285,81.63985415489844,72.78707847303961,87.65411663780112,0.2998801240009925,0.6460237503051758
diagnostic-manifold-base,"manifold: base, local parameter variants",N_phi,N_phi,10,ADP,local_projector_distance,lower,96,56,0,40,0.4166666666666667,nan,0.5031260026178017,0.5031260026178017,0.41261310556250075,0.5973928066773538,0.998002352519648,0.9637603383777714,0.9999336370506829,86.37882009673072,74.53210226807427,89.34391410209247,0.2395011879998492,0.6454105377197266
diagnostic-manifold-base,"manifold: base, local parameter variants",N_phi,N_phi,4,ADP,local_projector_distance,lower,12,6,0,6,0.5,nan,0.5043433525100035,0.5043433525100035,0.47710570189361534,0.5647110998013362,0.9964017513262381,0.9767520805350414,0.9996823260873935,85.36538611930965,77.64907012171106,88.91565664566289,0.24312688250211067,0.3900260925292969
diagnostic-manifold-base,"manifold: base, local parameter variants",N_phi,N_phi,16,ADP,local_projector_distance,lower,12,7,0,5,0.4166666666666667,nan,0.4929935279259076,0.4929935279259076,0.43402047348106065,0.5309803105376194,0.9923254795833814,0.9771570819612782,0.9999779898693876,82.89700686527192,77.77121851540524,89.71209521034791,0.2440220419994148,0.9268932342529297
diagnostic-manifold-base,"manifold: base, local parameter variants",N_J,N_J,24,ADP,local_projector_distance,lower,120,69,0,51,0.425,nan,0.5004857178262478,0.5004857178262478,0.4177829869616443,0.5867973908769906,0.9979087217705733,0.9654788827195548,0.9999569559051291,86.29388191000153,74.90260111830328,89.46838876803636,0.2415433269998175,0.6454582214355469
diagnostic-manifold-base,"manifold: base, local parameter variants",N_manifold,N_manifold,6,ADP,local_projector_distance,lower,96,54,0,42,0.4375,nan,0.4974859535346427,0.4974859535346427,0.4231388617291211,0.5715384121199184,0.9964893125852305,0.9659293257071891,0.999928044753507,85.30107829983669,75.00194456478009,89.3128182869708,0.23994809050054755,0.64532470703125
diagnostic-manifold-base,"manifold: base, local parameter variants",N_manifold,N_manifold,3,ADP,local_projector_distance,lower,12,6,0,6,0.5,nan,0.42895539827373985,0.42895539827373985,0.40373329607120506,0.5015209577073066,0.9889252372101164,0.9058945726705767,0.99866449769847,81.59543148914378,65.9252157590195,87.04649810817287,0.22654097249869665,0.6439456939697266
diagnostic-manifold-base,"manifold: base, local parameter variants",N_manifold,N_manifold,10,ADP,local_projector_distance,lower,12,9,0,3,0.25,nan,0.5755372431584863,0.5755372431584863,0.529704710746558,0.6241583230851014,0.9995121667826,0.9926678782671388,0.9999937575157489,88.2102557677177,83.29578884880786,89.79755058337301,0.25214294499892276,0.6467170715332031
diagnostic-manifold-base,"manifold: base, local parameter variants",lambda_manifold,λ_M,0.5,ADP,local_projector_distance,lower,96,55,0,41,0.4270833333333333,nan,0.5035127163392784,0.5035127163392784,0.41223089610375213,0.5981378701691369,0.9979087217705733,0.9648220116308336,0.9999681370126752,86.29388191000153,74.76795405103611,89.56798217967264,0.24836135299847228,0.6463680267333984
diagnostic-manifold-base,"manifold: base, local parameter variants",lambda_manifold,λ_M,0.0,ADP,local_projector_distance,lower,12,8,0,4,0.3333333333333333,nan,0.4974488129410817,0.4974488129410817,0.4611833205679726,0.5542084116477797,0.9898219041678938,0.967541668148569,0.9998457582732584,81.9178304158495,75.38776407669128,89.00597552533277,0.2353307984976709,0.6448211669921875
diagnostic-manifold-base,"manifold: base, local parameter variants",lambda_manifold,λ_M,2.0,ADP,local_projector_distance,lower,12,6,0,6,0.5,nan,0.4827935361510023,0.4827935361510023,0.4367138870167522,0.5554771099451283,0.9995588597546015,0.990886761886401,0.9998919636554269,88.34377715801905,82.34213177517093,89.18326949293788,0.23392542649889947,0.6447649002075195
diagnostic-manifold-base,"manifold: base, local parameter variants",sync_steps,шаги синхронизации,1,ADP,local_projector_distance,lower,108,62,0,46,0.42592592592592593,nan,0.4994500059939172,0.4994500059939172,0.4149315071194187,0.5928087269257574,0.9976853575142237,0.964848262536867,0.9999571345503555,86.11638931013638,74.76352029323576,89.46949130079851,0.23920653499772015,0.6451549530029297
diagnostic-manifold-base,"manifold: base, local parameter variants",sync_steps,шаги синхронизации,3,ADP,local_projector_distance,lower,12,7,0,5,0.4166666666666667,nan,0.5058820033489851,0.5058820033489851,0.44569849692262276,0.5486987717740959,0.9979087217705733,0.9777848423624973,0.999456013470061,86.29388191000153,77.94619166277984,88.20869680167735,0.33141336599874194,0.6470813751220703
