d,n,n_min,sigma_x,corr,center_fraction,n_centers,count,failed_rate,pass_h0_core_rate,pass_mass_at_h0_rate,pass_mass_below_099_rate,pass_mass_above_101_rate,pass_grid_monotone_rate,h0_mean,h0_std,h0_mean_ci95_low,h0_mean_ci95_high,h0_median,h0_median_ci95_low,h0_median_ci95_high,h0_q25,h0_q75,h0_over_sigma_x_median,mass_h0_median,mass_099_h0_median,mass_101_h0_median,center_mass_q05_h0_median,center_mass_min_h0_median
100,1000,5.0,0.7,0.0,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,8.799811102960179,0.020672926000311787,8.786997890676204,8.812624315244154,8.796829772078734,8.78458328745906,8.815754967635446,8.78944603474212,8.813855826805774,12.56689967439819,5.000000000000004,3.9587580595180683,6.333174302384221,1.1152305123566602,0.9999999999999998
100,1000,5.0,0.7,0.0,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,8.801219285521473,0.011576001034458428,8.794044405746263,8.808394165296683,8.799964035774444,8.79095304144335,8.810601720449297,8.791926475725809,8.810002269141556,12.571377193963492,5.000000000000007,3.961115307756142,6.3260657434831575,1.1008481848676048,0.9999999999999993
100,1000,5.0,0.7,0.3,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,8.695743317749505,0.031011803076347648,8.676522003063809,8.714964632435201,8.699239587809895,8.673620227718413,8.7085470147371,8.674914066064492,8.707111100563864,12.427485125442708,5.000000000000015,4.007938937382536,6.252404169249408,1.1052477627674078,0.9999999999999996
100,1000,5.0,0.7,0.3,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,8.68776578663925,0.027806228263314976,8.670531307806929,8.705000265471572,8.684374561671214,8.672755429294702,8.702780779276736,8.67437851680579,8.695115683940568,12.40624937381602,5.000000000000012,4.005300356103895,6.25414186322358,1.099001277135443,0.9999999999999991
100,1000,5.0,0.7,0.7,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,7.948332107817393,0.02526482453764484,7.932672807333593,7.963991408301193,7.955957269678884,7.932202105366848,7.965530722356895,7.940635943933097,7.96474257054789,11.365653242398407,5.0000000000000036,4.255581156971804,5.876274083404169,1.070795147775148,0.9999999999999991
100,1000,5.0,0.7,0.7,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,7.9629448302447745,0.018344141602204742,7.951575013484786,7.974314647004763,7.959846487564729,7.948340867275126,7.983816260246251,7.9508647605365805,7.980026684732536,11.371209267949613,5.000000000000005,4.257846336637969,5.874127176625084,1.0757149891771713,0.9999999999999987
100,1000,5.0,1.0,0.0,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,12.571158718514543,0.029532751429016502,12.552854129537435,12.58946330749165,12.566899674398192,12.549404696370088,12.593935668050637,12.556351478203029,12.591222609722534,12.566899674398192,5.000000000000009,3.9587580595180607,6.33317430238422,1.1152305123566602,0.9999999999999998
100,1000,5.0,1.0,0.0,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,12.573170407887817,0.016537144334940704,12.562920579637519,12.583420236138116,12.571377193963494,12.558504344919074,12.586573886356138,12.559894965322586,12.585717527345079,12.571377193963494,5.000000000000009,3.9611153077561383,6.32606574348313,1.1008481848676053,0.9999999999999993
100,1000,5.0,1.0,0.3,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,12.422490453927864,0.044302575823353944,12.395031432948299,12.449949474907429,12.427485125442706,12.390886039597733,12.44078144962443,12.392734380092131,12.438730143662664,12.427485125442706,5.000000000000009,4.007938937382551,6.2524041692493935,1.1052477627674075,0.9999999999999996
100,1000,5.0,1.0,0.3,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,12.411093980913213,0.03972318323330673,12.386473296867038,12.435714664959388,12.40624937381602,12.389650613278144,12.432543970395336,12.391969309722557,12.421593834200811,12.40624937381602,5.000000000000009,4.005300356103897,6.254141863223575,1.0990012771354427,0.9999999999999991
100,1000,5.0,1.0,0.7,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,11.354760154024849,0.036092606482349646,11.332389724762278,11.37713058328742,11.365653242398405,11.331717293381212,11.379329603366994,11.343765634190142,11.378203672211272,11.365653242398405,5.000000000000007,4.2555811569718,5.876274083404167,1.0707951477751487,0.9999999999999991
100,1000,5.0,1.0,0.7,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,11.37563547177825,0.026205916574578526,11.359392876406837,11.391878067149662,11.371209267949613,11.354772667535896,11.40545180035179,11.358378229337973,11.400038121046482,11.371209267949613,5.000000000000004,4.257846336637963,5.874127176625073,1.0757149891771716,0.9999999999999987
100,1000,5.0,1.3,0.0,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,16.342506334068908,0.03839257685772055,16.31871036839867,16.366302299739147,16.33696957671765,16.314226105281115,16.372116368465832,16.32325692166394,16.368589392639297,12.566899674398194,5.000000000000012,3.95875805951807,6.333174302384203,1.115230512356661,0.9999999999999998
100,1000,5.0,1.3,0.0,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,16.34512153025416,0.021498287635423018,16.33179675352877,16.358446306979552,16.342790352152544,16.326055648394796,16.36254605226298,16.327863454919363,16.361432785548605,12.571377193963496,5.000000000000011,3.9611153077561347,6.326065743483147,1.1008481848676048,0.9999999999999993
100,1000,5.0,1.3,0.3,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,16.149237590106228,0.057593348570359415,16.113540862832792,16.184934317379664,16.15573066307552,16.108151851477054,16.17301588451176,16.11055469411977,16.170349186761463,12.427485125442708,5.00000000000001,4.007938937382553,6.252404169249404,1.1052477627674078,0.9999999999999996
100,1000,5.0,1.3,0.3,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,16.13442217518718,0.05164013820329825,16.102415285927155,16.166429064447204,16.12812418596083,16.10654579726159,16.16230716151394,16.109560102639325,16.148071984461055,12.40624937381602,5.000000000000009,4.005300356103888,6.254141863223566,1.099001277135443,0.9999999999999991
100,1000,5.0,1.3,0.7,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,14.761188200232302,0.0469203884270542,14.73210664219096,14.790269758273645,14.775349215117927,14.731232481395576,14.793128484377092,14.746895324447184,14.791664773874654,11.365653242398405,5.0000000000000036,4.2555811569717985,5.876274083404169,1.070795147775148,0.9999999999999991
100,1000,5.0,1.3,0.7,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,14.788326113311722,0.034067691546951814,14.767210739328885,14.80944148729456,14.782572048334497,14.761204467796667,14.827087340457325,14.765891698139363,14.820049557360427,11.371209267949613,5.0000000000000036,4.257846336637964,5.874127176625079,1.0757149891771713,0.9999999999999987
100,1000,10.0,0.7,0.0,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,9.06164019066518,0.017474727284938586,9.050809242481884,9.072471138848476,9.055460033462865,9.049245526607185,9.070503275493973,9.05245195193295,9.070086031385713,12.93637147637552,10.000000000000021,7.887574612112546,12.594543284685734,1.517769657827413,1.0353541165938154
