seed_id,data_seed,center_seed,d,n,n_over_d,corr,sigma_x,center_fraction,n_centers,n_min,kernel,mass_rule,q_mass,h0,h0_over_sigma_x,h_low,h_high,mass_h0,mass_low,mass_high,expand_steps_used,search_steps_used,failed,error,mass_099_h0,mass_h0_recheck,mass_101_h0,center_mass_min_h0,center_mass_q05_h0,center_mass_mean_h0,center_mass_median_h0,center_mass_max_h0,pass_mass_at_h0,pass_mass_below_099,pass_mass_above_101,pass_grid_monotone,pass_h0_core
0,20260709,20260726,100,1000,10.0,0.0,0.7,0.25,250,5.0,epanechnikov,mean,0.05,8.798325075805959,12.569035822579941,8.798325075805957,8.798325075805959,5.0,4.999999999999978,5.0,10,60,False,,3.9485338490008197,5.0,6.3520103931145915,1.0,1.1290746587284033,5.0,3.078707903040783,25.546665253207607,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,0.7,0.25,250,10.0,epanechnikov,mean,0.05,9.056449038641844,12.93778434091692,9.056449038641842,9.056449038641844,10.000000000000036,9.999999999999995,10.000000000000036,10,60,False,,7.870362458453496,10.000000000000036,12.625261811620842,1.0,1.5028416203256783,10.000000000000036,6.761189557076108,45.65376777601284,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,0.7,0.25,250,20.0,epanechnikov,mean,0.05,9.337290266885464,13.338986095550665,9.337290266885462,9.337290266885464,20.000000000000096,19.999999999999993,20.000000000000096,10,60,False,,16.044262235864455,20.000000000000096,24.65735189383731,1.1723782230674855,2.8022990890289172,20.000000000000096,15.028433292241388,75.61049254983595,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,0.7,0.25,250,40.0,epanechnikov,mean,0.05,9.669054142802052,13.812934489717218,9.66905414280205,9.669054142802052,40.00000000000003,39.99999999999992,40.00000000000003,10,60,False,,33.164753790897834,40.00000000000003,47.67748986366811,1.9666950109095325,6.959987278073624,40.00000000000003,33.40589803904163,120.38153863502725,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,1.0,0.25,250,5.0,epanechnikov,mean,0.05,12.569035822579943,12.569035822579943,12.569035822579941,12.569035822579943,5.000000000000014,4.999999999999994,5.000000000000014,10,60,False,,3.948533849000824,5.000000000000014,6.352010393114621,1.0,1.129074658728404,5.000000000000014,3.0787079030407902,25.54666525320772,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,1.0,0.25,250,10.0,epanechnikov,mean,0.05,12.937784340916918,12.937784340916918,12.937784340916917,12.937784340916918,10.000000000000007,9.999999999999968,10.000000000000007,10,60,False,,7.870362458453453,10.000000000000007,12.62526181162082,1.0,1.5028416203256756,10.000000000000007,6.761189557076051,45.6537677760129,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,1.0,0.25,250,20.0,epanechnikov,mean,0.05,13.338986095550661,13.338986095550661,13.33898609555066,13.338986095550661,20.0,19.99999999999993,20.0,10,60,False,,16.04426223586432,20.0,24.657351893837255,1.172378223067482,2.802299089028894,20.0,15.028433292241331,75.61049254983595,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,1.0,0.25,250,40.0,epanechnikov,mean,0.05,13.812934489717218,13.812934489717218,13.812934489717216,13.812934489717218,40.00000000000004,39.999999999999936,40.00000000000004,10,60,False,,33.16475379089787,40.00000000000004,47.67748986366799,1.966695010909536,6.95998727807365,40.00000000000004,33.405898039041745,120.3815386350268,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,1.3,0.25,250,5.0,epanechnikov,mean,0.05,16.339746569353927,12.569035822579943,16.339746569353924,16.339746569353927,5.000000000000012,4.999999999999988,5.000000000000012,10,60,False,,3.948533849000835,5.000000000000012,6.352010393114615,1.0,1.1290746587284037,5.000000000000012,3.0787079030407867,25.54666525320789,True,True,True,True,True
0,20260709,20260726,100,1000,10.0,0.0,1.3,0.25,250,10.0,epanechnikov,mean,0.05,16.819119643191996,12.93778434091692,16.819119643191993,16.819119643191996,10.000000000000027,9.99999999999998,10.000000000000027,10,60,False,,7.870362458453477,10.000000000000027,12.625261811620826,1.0,1.5028416203256776,10.000000000000027,6.761189557076079,45.653767776012785,True,True,True,True,True
