experiment,title,factor,factor_label,level,build,quality_metric,quality_direction,n_total,n_success,n_nonconverged,n_failure,failure_rate,initial_quality_median,last_quality_median,selected_quality_median,selected_quality_q05,selected_quality_q95,max_principal_sine_median,max_principal_sine_q05,max_principal_sine_q95,max_principal_angle_deg_median,max_principal_angle_deg_q05,max_principal_angle_deg_q95,fit_time_median_sec,peak_memory_median_mib
diagnostic-multi-base,"multi: base, local parameter variants",N_loc,N_loc,20,ADP,trace_score,higher,96,55,38,3,0.03125,0.9796010567510953,0.9973341519968135,0.9973341519968136,0.9903749676850528,0.9994457181176926,0.06913152738999899,0.030982186623703035,0.1368736001289648,3.9641065587892914,1.77543264950926,7.866975091361882,0.7368405960005475,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",N_loc,N_loc,10,ADP,trace_score,higher,12,1,11,0,0.0,0.9791485831739721,0.9959619519034351,0.9961259262682288,0.9843636196533747,0.9985177317053578,0.0732505167035997,0.04752332377511791,0.15072661506230192,4.200729343107216,2.7239196550389573,8.670002774061308,1.1338846369999374,0.9596471786499023
diagnostic-multi-base,"multi: base, local parameter variants",N_loc,N_loc,30,ADP,trace_score,higher,12,8,4,0,0.0,0.9791485831739721,0.9963922860352521,0.9963922860352521,0.9800427368444894,0.9985606978506322,0.07139667602376096,0.04738956562937383,0.1896397643473529,4.094242449749588,2.716239971770854,10.94550909494473,0.6399820879996696,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",N_phi,N_phi,8,ADP,trace_score,higher,96,56,37,3,0.03125,0.9796010567510953,0.9973418500824319,0.9973418500824319,0.990324575532525,0.9994457181176926,0.06887548842816503,0.030982186623703035,0.13687360892921463,3.949401556253551,1.77543264950926,7.866975600369571,0.7368405960005475,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",N_phi,N_phi,4,ADP,trace_score,higher,12,1,11,0,0.0,0.9791485831739721,0.9960712179150722,0.9956914301827857,0.9510956725774351,0.9986435911460114,0.08467900382457916,0.048489902561341745,0.2989593446569421,4.857566694496993,2.7793716743131758,17.39828993044255,1.2435424230006902,0.6014251708984375
diagnostic-multi-base,"multi: base, local parameter variants",N_phi,N_phi,16,ADP,trace_score,higher,12,7,5,0,0.0,0.9791485831739721,0.9976627865568981,0.9976627865568981,0.9930379227851812,0.9989848681400363,0.0637331413960048,0.041762156608187495,0.11083520295187108,3.654165327509177,2.393495785196442,6.3644664515000136,0.6865573470004165,1.6780853271484375
diagnostic-multi-base,"multi: base, local parameter variants",N_J,N_J,24,ADP,trace_score,higher,108,53,52,3,0.027777777777777776,0.9796010567510953,0.9971930213870305,0.9971930213870305,0.9886959865785427,0.9991541372296316,0.06929529113936708,0.032664395901578214,0.14416118178988677,3.97351208609215,1.8718649968784693,8.288755094890305,0.7848177380001289,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",N_J,N_J,48,ADP,trace_score,higher,12,11,1,0,0.0,0.9856434946822232,0.9980358084606168,0.9980358084606169,0.9928604827471892,0.9992937624834843,0.05357900188630841,0.0329807383126872,0.10820675908870887,3.071328022160846,1.8900082177311566,6.2128163609368885,0.651031919000161,1.2831268310546875
diagnostic-multi-base,"multi: base, local parameter variants",solver_max_steps,k_max,50,ADP,trace_score,higher,96,53,40,3,0.03125,0.9796010567510953,0.9971930229776438,0.9971930229776438,0.9869451093403866,0.9991532063545865,0.06913153048334754,0.03276379901600732,0.14691758835087246,3.9641067364501517,1.8775634235715157,8.448345998585495,0.7742991179984529,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",solver_max_steps,k_max,20,ADP,trace_score,higher,12,0,12,0,0.0,0.9791485831739721,0.9971617669359798,0.9971617669359798,0.9905837728551562,0.9992853135276264,0.06759838117115743,0.031898957461914575,0.12960649040792455,3.876060921796892,1.8279863444943834,7.447003130076135,0.47169502100041427,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",solver_max_steps,k_max,80,ADP,trace_score,higher,12,11,1,0,0.0,0.9791485831739721,0.9972799307189869,0.9972799307189869,0.9906744035559625,0.9992850811863412,0.06893310074363358,0.031954239886217845,0.12854812419410833,3.95271044160578,1.8311555301782303,7.385917046016523,0.8518891759977123,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",lambda_penalty,λ,0.05,ADP,trace_score,higher,96,48,48,0,0.0,0.9796010567510953,0.9971930222641237,0.9971930222641237,0.987570191484988,0.9991534971438565,0.06900602380592333,0.03273273757224272,0.14651034743610142,3.9568985509512524,1.8757827815738704,8.424755870239974,0.7676288814982399,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",lambda_penalty,λ,0.0,ADP,trace_score,higher,12,7,2,3,0.25,0.9796010567510953,0.997365694476424,0.997365694476424,0.9932587773389153,0.9993290394571289,0.06913152738999899,0.03168438735280961,0.10112103518891824,3.9641065587892914,1.815686261608148,5.805541997125999,0.673104991998116,0.9603118896484375
diagnostic-multi-base,"multi: base, local parameter variants",lambda_penalty,λ,0.2,ADP,trace_score,higher,12,9,3,0,0.0,0.9791485831739721,0.9972793579604613,0.9972793579604613,0.99067376127545,0.999285081365325,0.0692210933552637,0.03195423655463844,0.12855747181393665,3.9692506495003057,1.8311553391903341,7.386456638223824,0.7843512839990581,0.9603118896484375
