experiment,point,point_label,run,seed,build,status,error
diagnostic-single-base,3,"N_loc=20, N_phi=4, N_J=24, solver_max_steps=50, lambda_penalty=0.05",1,1,ADP,nonconverged,
diagnostic-single-base,8,"N_loc=20, N_phi=8, N_J=24, solver_max_steps=50, lambda_penalty=0.0",11,11,ADP,numerical_failure,RuntimeError: unregularized HPAO step failed the trust certificate
