variant,repeat_count,passed_count,min_cosine_abs,mean_cosine_abs,max_angle_deg,mean_angle_deg,passed
new,3,3,0.99987575,0.99992385,0.90321018,0.68947264,1
old,3,3,0.99986857,0.99991714,0.92895915,0.72294242,1
