schema_version,series_id,run_id,experiment,point,variant,variant_index,mode,index_dim,seed,n,d,n_over_d,noise,requested_solver,requested_solver_settings,local_solver,effective_solver_settings,h_initial,h_final,rho_final,alpha_final,outer_iterations,cosine_abs,projector_error,fit_wall_time_sec,algorithm_time_sec,algorithm_rss_start_mib,algorithm_rss_min_mib,algorithm_rss_mean_mib,algorithm_rss_max_mib,algorithm_rss_peak_delta_mib,algorithm_memory_samples,algorithm_memory_source,tracemalloc_peak_mib,stop_reason,status,error_type,error_message,error_traceback,data_artifact,model_artifact,outer_row_count,inner_row_count,local_row_count,solver_row_count,adp_seed,adp_N_loc,adp_N_lin,adp_N_J,adp_N_phi,adp_outer_steps,adp_lambda_penalty,adp_local_ridge,adp_kernel,adp_a,adp_h_min,adp_batch_size,adp_index_init,effective_seed,effective_N_loc,effective_N_lin,effective_N_J,effective_N_phi,effective_outer_steps,effective_lambda_penalty,effective_local_ridge,effective_kernel,effective_a,effective_h_min,effective_batch_size,effective_index_init,effective_index_dim,stage_directions_memory_mib,stage_directions_time_sec,stage_initialization_memory_mib,stage_initialization_time_sec,stage_solver_memory_mib,stage_solver_time_sec,stage_statistics_memory_mib,stage_statistics_time_sec,stage_update_memory_mib,stage_update_time_sec
1,20260810T215833,6-manual__seed-7__7-default,manual,manual,default,0,multi,2,7,500,10,50.0,0.05,lsmr,{},lsmr,{},2.816241078810182,2.816241078810182,,1.0,1,,0.6321345253835781,0.0321744450047845,0.0320390250053606,66.91015625,66.91015625,67.123046875,67.3359375,0.42578125,2,psutil.Process.memory_info().rss,2.2357540130615234,local_mass_limit,success,,,,data/manual/seed_7.npz,models/6-manual__seed-7__7-default.npz,1,0,0,0,7,10,,64,,,100.0,1e-08,ADP.ADP_Config:epanechnikov,1.4142135623730951,,32,random,7,10,20,64,10,,100.0,1e-08,ADP.ADP_Config:epanechnikov,1.4142135623730951,0.019836016176540194,32,random,2,0.3107576370239258,0.0003664250034489669,0.7415523529052734,0.004659768994315527,0.036370277404785156,0.022148388001369312,1.931717872619629,0.0035521940008038655,1.349700927734375,0.0008859989975462668
1,20260810T215833,6-manual__seed-8__7-default,manual,manual,default,0,multi,2,8,500,10,50.0,0.05,lsmr,{},lsmr,{},2.82601338070809,1.9982932252226107,,0.2606296241283417,2,,0.6393858172748585,0.05941356899711536,0.05929851900145877,67.69921875,67.44140625,67.89322916666667,68.5390625,0.83984375,3,psutil.Process.memory_info().rss,2.21728515625,local_mass_limit,success,,,,data/manual/seed_8.npz,models/6-manual__seed-8__7-default.npz,2,0,0,0,7,10,,64,,,100.0,1e-08,ADP.ADP_Config:epanechnikov,1.4142135623730951,,32,random,8,10,20,64,10,,100.0,1e-08,ADP.ADP_Config:epanechnikov,1.4142135623730951,0.020130675537818738,32,random,2,0.619049072265625,0.0005927050005993806,0.7399654388427734,0.004138037998927757,0.09769725799560547,0.045403963995340746,3.4043045043945312,0.005291569999826606,2.6993789672851562,0.0032100289972731844
1,20260810T215833,6-manual__seed-9__7-default,manual,manual,default,0,multi,2,9,500,10,50.0,0.05,lsmr,{},lsmr,{},2.9471426911291303,2.9471426911291303,,1.0,1,,0.6854369574812627,0.02935332500055665,0.02920598199852975,67.80078125,67.50390625,67.65234375,67.80078125,0.0,2,psutil.Process.memory_info().rss,1.9785270690917969,local_mass_limit,success,,,,data/manual/seed_9.npz,models/6-manual__seed-9__7-default.npz,1,0,0,0,7,10,,64,,,100.0,1e-08,ADP.ADP_Config:epanechnikov,1.4142135623730951,,32,random,9,10,20,64,10,,100.0,1e-08,ADP.ADP_Config:epanechnikov,1.4142135623730951,0.020257627018720296,32,random,2,0.30951690673828125,0.0003084290001424961,0.7398967742919922,0.004312438002671115,0.03218364715576172,0.020637778005038854,1.6776313781738281,0.0027845229997183196,1.349700927734375,0.000823441005195491
