schema_version,series_id,run_id,experiment,point,variant,seed,local_solver,mode,outer_k,h_k,rho_k,alpha_k,beta_k,basis_k,eigenvalues,cosine_abs,projector_error,beta_delta,objective_after,inner_iterations,linear_solver_iterations,solver_diagnostics,local_mass_mean,stop_reason
1,20260810T215833,6-manual__seed-7__7-default,manual,manual,default,7,lsmr,multi,0,2.816241078810182,,1.0,,"[[0.26615806260731945,0.07783883649523297],[0.3377197008133307,-0.3639137433002089],[-0.05850905973352392,0.3076196028812621],[-0.14446759044593224,-0.21371498594386087],[0.470881912479526,0.22788892034572752],[-0.11974301639166061,-0.24570153013163],[-0.4465460854566147,0.19034664464500442],[-0.33191102374997483,-0.022769441566587733],[-0.3081985590789679,0.5523795879583819],[-0.38754127936883553,-0.516747408277182]]","[64.99915958701187,22.700670359616595]",,0.6321345253835781,0.6459973810474944,,2,16,"{""beta_delta"":0.6459973810474944,""distance_initial"":0.721376267760612,""inner_iterations"":2,""lsmr_iterations"":16,""lsmr_stop"":2}",10.000000000000004,local_mass_limit
1,20260810T215833,6-manual__seed-8__7-default,manual,manual,default,8,lsmr,multi,0,2.82601338070809,,1.0,,"[[0.29899143461687006,0.39058958179675196],[-0.5471654972205754,0.08731087558039291],[-0.055535140703118255,0.19059012252586674],[-0.219386316533421,0.4357088378483824],[0.547735430646891,-0.08866311329461149],[0.3181102013097943,0.041169429870289626],[-0.14736453168031652,0.271611690140813],[-0.09305845104951022,-0.006568852957483738],[0.2568316254075472,0.6827282481124524],[-0.2499053149899386,0.2532978740093349]]","[63.38268722693392,7.387129405040634]",,0.6533092194123218,0.1285895369222863,,2,20,"{""beta_delta"":0.1285895369222863,""distance_initial"":0.6074434270769717,""inner_iterations"":2,""lsmr_iterations"":20,""lsmr_stop"":2}",10.000000000000004,
1,20260810T215833,6-manual__seed-8__7-default,manual,manual,default,8,lsmr,multi,1,1.9982932252226107,,0.2606296241283417,,"[[-0.2628258761844475,0.405041492770274],[0.5510917784510128,0.019835663143052934],[0.0681498502016997,0.15140574162101744],[0.2617156480623873,0.44582947524014793],[-0.5398127686586283,-0.018665960988120484],[-0.31691650458844495,0.03907436882591188],[0.19432551744153498,0.26182352769547784],[0.07134507572386538,-0.01592219929551173],[-0.21343028579347997,0.6921375224031283],[0.27173887919847883,0.2532304594849968]]","[214.03973549618433,19.71429555442445]",,0.6393858172748585,0.037344572073508976,,2,18,"{""beta_delta"":0.037344572073508976,""distance_initial"":0.611127615876876,""inner_iterations"":2,""lsmr_iterations"":18,""lsmr_stop"":2}",10.000000237456863,local_mass_limit
1,20260810T215833,6-manual__seed-9__7-default,manual,manual,default,9,lsmr,multi,0,2.9471426911291303,,1.0,,"[[0.10713789050831246,0.033377960766037475],[-0.31268789379148537,0.34597777404499613],[0.06640736910670827,0.4816335679354843],[-0.08357686417894857,0.4428641695961055],[-0.4421039063312023,0.3939182877885675],[-0.43803090070565864,0.011928618327126267],[0.6855818423825165,0.42978611495671326],[-0.11210903190722325,0.2062491367053896],[0.06353289616585392,0.2614897299524678],[0.07347422741813443,0.011837477191896262]]","[252.67572253939065,33.081317208163775]",,0.6854369574812627,0.7312941759361905,,2,18,"{""beta_delta"":0.7312941759361905,""distance_initial"":0.7619256530943017,""inner_iterations"":2,""lsmr_iterations"":18,""lsmr_stop"":2}",10.000000000000007,local_mass_limit
